Job title,Experience,Technologies,Views,Salary
Full Stack (Python/VueJS) Developer,,"Full-stack Web Development, Python, Vue.js, Django, FastAPI, Next.js, Docker",45,
Senior Python Developer,3,,5,до $5000
Middle Python Developer (MSSQL Server + Python),2,Python,80,
Senior Python Engineer (with frontend skills),,,26,
Senior Python (GPT LNN NLP AI) Developer,,"Python, Machine Learning, AI, NLP, LNN, GPT, ETL",17,
"Full Stack Developer (Python, React+GIS skills)",3,"Data Analysis, Python, React, Azure",91,
Middle Python Developer with Angular,2,,54,
Middle Python Developer,3,,67,
"Senior Python Developer, Investment Management Solution (based in Poland only)",3,,7,
Senior software engineer with ML experience,3,"Python / Django, JavaScript / TypeScript, Vue, Machine Learning",31,до $4000
AI Expert in NLP/LLM,,"Python, NLP",15,
Software Engineer,3,"Rust, Docker, C++, Python",34,
Python developer (Machine Learning),2,,130,
Full Stack (Python + React.js) Developer,2,,191,$1000-2200
Senior Python Engineer,,,54,
Full Stack Developer (React + Python),3,"React.js, Python / Django / Flask, REST API, SQL, HTML / CSS / JavaScript",35,
Senior Python Engineer,,,91,
Senior AWS Backend Developer (Project),,"Python, AWS, AWS Lambda, AWS S3, Glue, AWS Textract",36,
Python developer (US IoT project),,"Python, IoT, PHP",253,$1000-2500
MLOps Engineer / Machine Learning Operation,,"Machine Learning, DevOps, AWS, Python, PySpark, Terraform/Terragrunt, Kubernetes",27,
Strong Middle Python Developer,2,,77,
Trainee/Junior Python Developer,,,967,
Python Back-end Developer   Only Ukrainians worldwide,,Python,60,$5000-6000
Python developer,,"Python, Django, DRF, Pytest, REST API",91,до $4500
Lead Python Engineer,,"Python, AWS, Docker",20,$5500-6000
Middle/Senior Python Developer,3,"Python, Python / Django, React, API",103,$1000-5000
Python Developer for Devops startup,3,"Python, AWS, Flask, Azure",84,
Middle Backend Developer (Python),2,,75,
Python Engineer,,"Python, TypeScript, edge",60,до $6500
Middle Python/Java developer,3,"Python, Java, Spark, Pandas, Elasticsearch, Mongo, K8s",193,від $3500
Python Back End Developer (JobTestPrep),,"Python, Backend development",20,
Senior Python Developer,,"Python / Django, PostgreSQL, Kafka, Redis, Kubernetes, Terraform",31,до $5500
Senior Backend Engineer (Python/Golang),,"Python, Golang, PostgreSQL, MongoDB, AWS, Docker, B2C",28,
Senior Python Engineer,,,24,
Full-stack програміст (Middle),3,"Python3, Django, jQuery, DRF, MSSQL",58,$1000-1500
Senior Backend Engineer,,,36,
Senior/Lead Python Engineer,,"Python, Azure, Microsoft Azure, Azure Cloud",22,
Senior Python Developer - work only from Poland,3,,2,
Python / AI,3,"Python3, PyTorch, Tensorflow",82,
Data Team Scraping Expert FPS,,"Python, splash, puppeteer, requests, json, etree, git",458,
Middle Python Developer (FastAPI),2,"Python, FastAPI, SQLAlchemy",134,
"Python Engineer (AsyncIO, FastAPI) for AI-NLP platform",,"Python, AI, NLP, AsyncIO, FastAPI",174,
Software and MLOps Engineer (Python) (Poland),,"MLOps, DevOps, Python, Machine Learning, Data Science/Machine Learning",165,
Python Engineer,3,"matlab, Python",79,$4900-5500
Python Expert (Coach),3,,66,
Senior Python Developer,3,"Python, Apache Beam (Dataflow), GCP",33,
ML Engineer with Python and Data experience,,,26,
